材料名称,四（五）性,五味,引用次数,描述
海底椰,1,1,3,清热解毒、润肺止咳
白豆,3,1,1,益气健脾、清热解毒
白菜干,1,1,3,清热解毒、利湿消肿
南杏,4,5,5,润肺止咳、润燥通便
北杏,4,5,12,润肺止咳、润燥通便
三宝扎,3,1,1,益气养血、调和脾胃
橄榄,1,2,11,润肺止咳、益气养血
油柑,4,1,1,健脾开胃、理气化痰
西洋菜干,2,1,3,清热解毒、润肺利尿
豆腐,3,1,15,益气养血、滋阴润燥
扁豆,1,1,12,清热解毒、利水消肿
羊肚菌,3,1,1,补气益肾、滋阴润燥
石橄榄,1,4,1,清热解毒、润肺止咳
海马干,1,4,4,补肾壮阳、滋阴润燥
蝎子干,4,6,2,温经止痛、解毒祛风
海龙干,4,4,6,补肾壮阳、益精填髓
紫菜干,1,1,1,清热利尿、软坚散结
猴头菇,5,1,7,益气健脾、滋阴润燥
豆豉,1,4,1,解毒消肿、祛风散寒
花生,3,1,11,补益脾胃、滋阴润燥
雪耳,3,1,5,滋阴润燥、清热解毒
白果（银杏）,3,5,5,涩肠止泻、止血敛疮
眉豆,3,1,5,清热解毒、利水消肿
云耳,1,1,2,滋阴润肺、清热解毒
核桃,4,1,8,补肾益精、润肠通便
茶树菇,3,1,7,益气养血、滋阴润燥
木棉花干,4,1,1,润肺止咳、化痰消肿
莲子芯,1,1,1,滋阴润肺、清热解毒
竹荪,3,1,1,滋阴润肺、补气养血
香菇,3,1,7,益气健脾、滋阴润燥
陈皮,4,5,37,理气化湿、行气消食
白胡椒,4,6,3,温中散寒、祛风除湿
黑胡椒,4,6,2,温中散寒、祛风除湿
蒜,4,6,1,温中散寒、解毒杀菌
黑蒜,4,1,1,补益脾胃、增强免疫
葱,4,6,24,发散风寒、解表散寒
香菜,4,6,1,理气开胃、行气化湿
鱼露,3,4,1,一种由发酵的鱼类制成的液体调味品，常用于东南亚菜肴中增加风味
花生油,3,3,1,由花生压榨而成的食用油，含有丰富的不饱和脂肪1.，常用于烹饪和调味
虾米,4,4,1,补肾壮阳、补血滋阴
苹果,2,1,5,生津止渴、润肺养胃
雪梨,2,1,23,润肺止咳、清热解毒
无花果,3,1,21,补中益气、润肺止咳
木瓜,3,1,12,健脾消食、润肠通便
椰子,2,1,3,润肺止咳、解暑生津
枇杷,1,1,3,清热解毒、润肺止咳
蜜瓜,2,1,1,生津止渴、清热解暑
姜,5,6,192,发汗解表，温中止呕
